Time,aileron,elevator,rudder,flaps,throttle0,throttle1,vsi-fpm,alt-ft,ai-pitch,ai-roll,ai-offset,hi-heading,roll,pitch,heading,airspeed,speed-north,speed-east,speed-down,uBody-fps,wBody-fps,north-accel-fps_sec,east-accel-fps_sec,down-accel-fps_sec,x-accel-fps_sec,y-accel-fps_sec,z-accel-fps_sec,latitude,longitude,altitude,crashed
19,0,0,0,0,0.2,0,-19.85575683,143.0045818,11.38442339,37.94807796,,282.9372242,0.113108826,4.946573237,180.0139742,3.001684253,-0.001152342,0.000192679,-6.05E-05,0.001153218,3.95E-05,0,0,0,2.694883519,-0.063610718,-32.1115601,63.99183623,-22.60542633,146.229664,0
20,0,0,0,0,0.2,0,-17.19826268,142.9237589,8.672287446,28.90672889,,282.933107,0.10994752,4.927063016,180.0137047,3.000938134,-0.001340942,0.00021087,-6.56E-05,0.001341571,5.02E-05,0,0,0,2.681744495,-0.061487471,-32.11260768,63.99183623,-22.60542633,146.2298474,0
21,0,0,0,0,0.2,0,-17.12559159,142.842293,5.403276827,17.85962166,,282.2379623,0.103795452,4.889630806,180.0131837,3.003349444,-0.007210562,0.001093053,-0.000357411,0.007214534,0.000260455,0,0,0,2.670355307,-0.059081015,-32.11367576,63.99183622,-22.60542632,146.2302074,0
22,0,0,0,0,0.2,0,-10.03754583,142.7606534,3.733119943,6.575342775,,254.6313012,0.091870151,4.856100258,180.0093753,3.124429759,-0.244461072,-3.60E-05,-0.001764564,0.243732946,0.018936238,0,0,0,2.997659484,-0.02202957,-32.0921588,63.99183596,-22.60542632,146.2309975,0
23,0,0,0,0.6666668,0.2,0,-19.58736665,142.6818635,5.057118885,0.794006351,,193.3522873,0.092187884,4.853926082,180.0010032,3.285836729,-0.555049893,0.000468288,-0.003745157,0.553376187,0.043234918,0,0,0,2.869226122,-0.113662621,-32.09155787,63.99183483,-22.60542632,146.2327671,0
24.0167,0,0,0,1,0.2,0,-10.36973972,142.6012562,4.848761821,0.095727428,,192.9055544,0.09579449,4.848682044,179.989458,3.361535155,-0.701149258,-0.000890525,-0.00483651,0.699048755,0.054443289,0,0,0,2.710798509,0.007928123,-32.11642899,63.99183303,-22.60542632,146.2355486,0
25.0083,0,0,0,1,0.2,0,-10.32540774,142.5236402,4.845307751,0.097694465,,192.8944036,0.097713279,4.845265217,179.9783127,3.377805777,-0.732948584,0.000636774,-0.00501751,0.730753341,0.056909522,0,0,0,2.641977733,-0.081869918,-32.11175989,63.99183107,-22.60542632,146.2385827,0
26.025,0,0,0,1,0.211,0,-13.80702259,142.4449584,4.843775782,0.0981961,,192.8833325,0.098212669,4.843760597,179.9672265,3.373454306,-0.727038003,-0.00034881,-0.005036782,0.724866485,0.05637008,0,0,0,2.626302178,0.003283368,-32.12452943,63.99182905,-22.60542632,146.2417012,0
27.0167,0,0,0,1,0.299,0,-19.29206393,142.4091553,4.843588851,0.098089112,,192.8783147,0.098079028,4.843588726,179.9622112,3.371776126,-0.724053855,0.000946089,-0.004931383,0.721885046,0.056223138,0,0,0,2.634974029,-0.081554815,-32.11148036,63.99182815,-22.60542632,146.2431024,0
28,0,0,0,1,0.772,0,-13.82322002,142.2905147,4.852729472,0.090870626,,192.8551107,0.090722168,4.852959298,179.9387799,3.508097741,-0.983278853,0.001421977,-0.00698271,0.980345569,0.076227185,0,0,0,3.253102724,0.024890113,-32.079797,63.99182488,-22.60542631,146.2481488,0
